protocol_name,knesset_number,protocol_type,speaker_name,sentence_text
15_ptv_490845.docx,15,committee,מיכאל איתן,"לוועדת הכלכלה אין מי יודע מה איזה נושאים . כיוון שאם אנחנו מתכוונים לטיפול רציני בתאונות דרכים אין ספק שהוא צריך להיעשות כוועדת מישנה בתוך ועדת הכלכלה . מדוע ? אין הגבלה על מספר האותיות ? אני מציע שנקבל החלטה עקרונית , והשינוי ייכנס לתוקף ביום שבו ייכנס לתוקף גם שינוי החקיקה ."
15_ptv_490845.docx,15,committee,מיכאל איתן,נעבור לנושא הבא על סדר יומנו – פניית יושב ראש ועדת העבודה והרווחה בדבר שינוי שם הוועדה . אנחנו יודעים שיש פוליטיקה ולפעמים השר לא רוצה לבוא לישיבה שעניינה מלחמה בתאונות דרכים אבל הוא יודע שהוא צריך את הוועדה כדי שהיא תאשר לו תקנות מסויימות – לכן הוא נאלץ לבוא לוועדה . באינטנסיביות רבה . התקשורת לא מתייחסת לוועדות מישנה . איזה נושאים יש לה ?
15_ptv_490845.docx,15,committee,מקסים לוי,"אוי ואבוי למי שנוסע ברכב כזה . לדוגמה , מתפרסמים מכרזים שיוצאים ברשויות המקומיות להסעת ילדים אבל מי שרואה באילו רכבים הילדים האלה נוסעים - לא מאמין למראה עיניו . אני , כמי שכיהן כיושב ראש ועדה , יודע מה פירושו של דבר להעמיס עבודה חקיקתית בכנסת על ועדה , דבר שממלא אותה בעבודה רבה ביותר . אפשר יהיה להקציב לה שנת עבודה ואף שהיא לא תקטין את תאונות הדרכים , היא תביא לעיסוק בבעיה כואבת וקשה מאד . כאמור , ועדה מיוחדת יכולה לרכז את הבעיה ולנסות לפתור את הנושאים הכלולים בה אחד לאחד לכן צריך לחייב את הכנסת להקים ועדה מיוחדת שתבחן את הבעיה על כל צדדיה ."
15_ptv_490845.docx,15,committee,מקסים לוי,"הוועדה שאנחנו מדברים עליה צריכה לבחון הרבה נושאים . אחרי שהתאונה הקשה שהזכרנו אותה במהלך הישיבה , קרתה , לקחו אוטובוס כדי שהוא יסיע ילדים לבית ספר של ש""ס ואני רק יכול לומר שאוי ואבוי לאותם ילדים שמועלים לאותו אוטובוס . ועדת הכלכלה דנה בחקיקה אבל זה לא אומר שלא צריך להקים ועדה מיוחדת כדי שהיא תנסה לעשות סדר בבלגאן שקורה היום במדינת ישראל . פעם התנגדתי להקמת ועדה לעניין העובדים הזרים אבל מאוחר יותר הבנתי שהעומס הרב שקיים בוועדה הרלוונטית יאפשר לוועדה מיוחדת לבדוק את העניין ולכן מאחר ואנחנו מדברים על מקרה כאוב מאד ואגב , רק עכשיו התחילו להבין שאין קציני בטיחות ברשויות המקומיות לכן כל המצב מחייב הקמתה של ועדה מיוחדת . אבל לעצם העניין ברצוני לדבר על בעיה כאובה מאד שעניינה הסעות של ילדים של הרשויות המקומיות , דבר שמצריך בדיקה ."
15_ptv_490845.docx,15,committee,סאלח טריף,"תודה . תודה . אני גם מבין שההצעה מקובלת על כולם לכן אני אעמיד אותה להצבעה - 15 דקות , 10 דקות ו- 5 דקות . האם יש הערות לבקשה ? מה הנוהל בעניין שינוי שם ועדה בכנסת ?"
15_ptv_490845.docx,15,committee,סאלח טריף,רשות הדיבור לחבר הכנסת יולי אדלשטיין . תסלח לי על כך שאני קוטע את דבריך באמצע אבל יש לנו הצעה לתיאום הוועדות . רשות הדיבור לחבר הכנסת אביגדור ליברמן . אנחנו מצדדים בחיזוק מעמדה של הכנסת ואנחנו מתכוונים לעשות דברים כדי לחזק אותה . רשות הדיבור לחבר הכנסת ראובן ריבלין .
15_ptv_490845.docx,15,committee,סאלח טריף,"רשות הדיבור לחבר הכנסת מיכאל איתן . תודה . חבר הכנסת אופיר פינס - פז שהציע גם הוא הצעה באותו עניין , יציג אותה בפנינו עוד מעט . האם אתה מתכוון למסגרת הרגילה שסיכמנו עליה בפעם האחרונה ? חבר הכנסת טל , באופן עקרוני אין התנגדות לשינוי שם הוועדה ."
15_ptv_490845.docx,15,committee,סאלח טריף,"אני מאחל לאברום ולכל המשפחה אריכות ימים בשם כולנו , ושלא ידעו יותר צער . אמרתי גם לחבר הכנסת פינס - פז שהירבינו לבוא עם הצעות כדי לפתור בעיות של ועדות מיוחדות כדי לספק תפקידים של יושבי ראש ועדות מיוחדות , שהן , מטבע הדברים , יותר אטרקטיביות , אבל היתה גם מגמה לבלום את העניין הזה שכן לא צריך לנגוס כל הזמן בוועדות המרכזיות של הכנסת . האם החקיקה הקיימת מספקת ? תודה . הצבעה הבקשה אושרה ."
15_ptv_490845.docx,15,committee,סאלח טריף,"בוקר טוב , אני מתכבד לפתוח את ישיבת ועדת הכנסת ומבקש לשגר תנחומים לחברנו יושב ראש הכנסת אברהם בורג ולכל משפחת בורג , על הליכתו לעולמו של ד""ר יוסף בורג , אחד המנהיגים הגדולים הציוניים שקמו למדינת ישראל . בקשת סיעת "" מחר "" לשינוי שם הסיעה נתחיל את סדר היום שלנו עם בקשתה של סיעת מחר לשנות את שמה . שמעת מה שצריך לעשות כדי לשנות את שם הוועדה – לשנות את התקנון . חברה כזאת או אחרת תמיד יכולה לעבור עבירות כאלה ואחרות ולצערנו תמיד יש נהג כזה או אחר , לא מיומן , שעושה טעויות שנגמרות באסון כבד אבל השאלה הנשאלת בהקשר הזה של הדברים היא האם אנחנו , כאן , עושים כל מה שאנחנו יכולים לעשות , כדי לנסות להשפיע או למנוע טעויות כאלה ? אולי , מי יודע ?"
15_ptv_490845.docx,15,committee,סאלח טריף,אני מעמיד להצבעה את אישור הבקשה . רשות הדיבור לחבר הכנסת דהאמשה . תודה . האם אנחנו בודקים את עצמנו פעם אחר פעם ? אני מבין שכן .
15_ptv_490845.docx,15,committee,סאלח טריף,"תודה . חברים , אין ויכוח על כך שהוועדה שאנחנו מדברים עליה צריכה לקום בגלל צרכים מעשיים ולא בגלל צורך קואליציוני כזה או אחר . אוכפת ? גם אם היינו מצילים נפש אחת בישראל – דיינו . האם נמצאים כאן נציגים של סיעת מחר ?"
15_ptv_490845.docx,15,committee,סאלח טריף,"הצבעה ההצעה אושרה . תודה . אנחנו צריכים לשאול את עצמנו מה יותר מעשי ומה יותר אפקטיבי או מה יכול יותר לסייע לענייננו ? השאלה המרכזית היא האם אנחנו מבצעים את תפקידנו נכון ? בכנסות הקודמות הקמנו ועדות למלחמה בתאונות הדרכים והפעם מוצע להקים ועדה מיוחדת אד הוק , שנקצוב את זמנה אבל אם יהיה צורך – נאריך את זמן עבודתה , ובלבד שהיא תביא לנו הצעות שמנסות לבחון את כל מה שקשור למלחמה בתאונות דרכים , לא רק בחקיקה אלא גם באכיפה ובתיפקוד הרשויות השונות ."
15_ptv_490845.docx,15,committee,סאלח טריף,מחייבת ? הוועדה הזאת יכולה להחליט על שינוי השם ואחר כך להניח את ההצעה על שולחן הכנסת ? מונחת על שולחננו פנייתו של יושב ראש ועדת העבודה והרווחה בדבר שינוי שם הוועדה . רשות הדיבור לחבר הכנסת רחבעם זאבי . נעבור לנושא הבא על סדר יומנו – קביעת מסגרת דיון להבעת אי אמון בראש הממשלה .
15_ptv_490845.docx,15,committee,סאלח טריף,"האם יושב ראש הוועדה נמצא כאן ? אני תוהה האם יש על נהגי אוטובוסים בקרה יותר גדולה מאשר על נהג רגיל ? אני מעמיד להצבעה את הבקשה לשנות את שם הוועדה . אני מבקש ממי שיקבל את רשות הדיבור , גם להתייחס לשאלה של ועדת מישנה או ועדה מיוחדת ? תודה ."
15_ptv_490845.docx,15,committee,סאלח טריף,"רשות הדיבור לחבר הכנסת יאיר פרץ . האם חבר הכנסת ברונפמן נמצא כאן ? הצבעה הבקשה אושרה . הוא מקבל את זה ? רשות הדיבור ליועץ המשפטי של הוועדה , מר צבי ענבר ."
15_ptv_490845.docx,15,committee,ראובן ריבלין,"המסגרת הרגילה . מכל מקום אם אכן נגזר עלינו להצביע , לפי בקשתו של חבר הכנסת פינס - פז , אני מציע לעשות את הדברים במסגרת ועדת הכלכלה או לעשות את הדברים ברוטציה . יחד עם זאת אני מבקש להביע עמדה עקרונית ; יחד עם זאת אפשר לעסוק בנושא הזה במסגרת ועדת מישנה אבל אני לא זוכר מדוע החלטנו כך , האם תאונות הדרכים עמדו במרכז העניינים או שיש צורך בעוד ועדה ? כאשר בנו את הכנסת דובר על 10 ועדות ולא סתם נבנו 10 חדרי ועדות ."
15_ptv_490845.docx,15,committee,ראובן ריבלין,"הלוואי והייתי חבר רק ב- 4 ועדות . המחשבה שמא הוועדה המיוחדת שתוקם בכנסת היא זאת שתפתור את הבעיה במקום שהמשרדים היעודיים יטפלו בעניין בצורה הראויה – היא דבר שיכול להוסיף עוד כהנה וכהנה לביקורת הציבורית שיש על הכנסת . ועדת הכלכלה היא הוועדה שאחראית על תאונות הדרכים ועל עניין התעבורה בדרכים ואם , למשל , אנחנו רואים בתאונות הדרכים מכת מדינה , מן הראוי שוועדת הכלכלה תשים על סדר יומה , בעדיפות עליונה , את הנושא הזה . בוועדה המסדרת . תאונות הדרכים הן מכת מדינה ."
15_ptv_490845.docx,15,committee,רחבעם זאבי,"לפי דעתי אין לנו כוח להקים ועדות קבועות . צריך לקחת בחשבון שוועדה לא יכולה לשבת בפרוזדור , היא לא יכולה לשבת כאורחת לשעה בחדר של ועדה אחרת שזאת עושה לה טובה כיוון שכל ועדה צריכה את המשכן שלה , זה חלק מהכבוד , מהסטטוס כשבאים אליה גורמים חיצוניים , וכו' . יש להם אחריות רצינית , - נשארת קבוצה קטנה של חברי כנסת שהיא רצה בין הוועדות , לדוגמה , חבר הכנסת שיושב מולי , חבר הכנסת ראובן ריבלין שהוא יושב ראש הליכוד , הוא גם חבר ב- 5 ועדות , וזה לא רציני . אני חוזר על הטיעון הקודם שלי , שבלי להרגיש כשמגדילים את הממשלה , מוסיפים סגני שרים , יושבי ראש הוועדות אינם חברים בוועדות אחרות או כמעט אינם חברים בהן , ובצדק ; אין הערות ."
15_ptv_490845.docx,15,committee,רחבעם זאבי,"תורת השלבים עובדת עלינו ויש בכנסת נטייה מזה שתי כנסות , לייסד עוד ועדות קבועות . הנושא שאנחנו מדברים עליו צריך להיות נושא מועדף , ראשון במעלה , בוועדת הכלכלה היות ויש לנו בעיה של 500 הרוגים כך שהוועדה הזאת צריכה לשים את העניין הזה בסדר העדיפויות שלה לפני נושאים אחרים . האבות המייסדים של הכנסת , שאני מצדיע להם , היו חכמים מאד והשאירו לנו מורשת של 8 או 9 ועדות קבועות אבל אנחנו כל הזמן גדלים בכל מיני נושאים . אם תקים ועדה , היא תמנע מקרים כאלה ? אנחנו צריכים להתייחס אל עבודת הוועדות ברצינות ."
15_ptv_490916.docx,15,committee,אופיר פינס-פז,"ואני אמשיך את דברי היועץ המשפטי לכנסת . אינני יודע אם זה אפשרי . בוועדת החוץ והביטחון אין הצבעות בין כה וכה . אתה יכול , אבל למעשה זה לא נותן לו ולא כלום . רבותיי , אנחנו מסמיכים את יושב ראש הוועדה לסכם עם חבר הכנסת קליינר את הייצוג שלו בחודש הקרוב בשתיים - שלוש ועדות , בדיוק על פי אותו מודל שעשינו עכשיו עם היועץ המשפטי ."
15_ptv_490916.docx,15,committee,אופיר פינס-פז,אני מוכן שיהיה חבר לחודש . אז נשכנע אותו . אנחנו רוצים לעשות ג'סטה . אני רוצה להזכיר לכולנו שהייתה הסכמה לגבי החוק . אני מודה שזה נזיל משהו .
15_ptv_490916.docx,15,committee,אופיר פינס-פז,"יש פרוצדורה נוספת . לא , זה לא קשור . לממלא מקום אין זכות הצבעה . מר ענבר , זה נותן או לא נותן ? אני מציע לחזור להצעה הזו שהתגבשה במהלך השיחות , ושלדעתי , היא הצעה סבירה במצב שנוצר ואני מציע לחוקק מחדש את החוק ."
15_ptv_490916.docx,15,committee,אופיר פינס-פז,"רגע , תמשיך , מר ענבר . לא , בהעדרם של לימור לבנת או מאיר שטרית או החבר השלישי . אבל תשאל , בבקשה , אדוני היושב ראש , את גב' קלאי מה היא אומרת על ההצעה של חבר הכנסת נוה שבעוד שלושה שבועות זה יעלה , והממשלה תוכל להתייחס . חבר הכנסת מיקי איתן הוא ממלא מקום בעצמו . אפשר לעשות דבר כזה ?"
15_ptv_490916.docx,15,committee,אופיר פינס-פז,"לי אין חברים בוועדת הכלכלה . יש ממלאי מקום קבועים בוועדת הכספים ובוועדת החוץ והביטחון . אני מכניס את חבר הכנסת בני אלון או כל מועמד אחר מסיעתו כחבר בוועדת החוקה , חוק ומשפט . זה לא על סדר היום . יש לך רוב , חברת הכנסת גלאון ?"
15_ptv_490916.docx,15,committee,אופיר פינס-פז,"כפי שאמר חבר הכנסת ריבלין , יש קואליציה , יש אופוזיציה ויש ש""ס . ממלא מקום שם זה כמו חבר , כי אין שם הצבעות . בהיעדרם של אברהם הירשזון או של מיכאל איתן . נכון , סיכמנו . לא , הכוונה לכך שאפשר יהיה לתת לאיחוד הלאומי ממלא מקום עם זכות הצבעה ."
15_ptv_490916.docx,15,committee,אופיר פינס-פז,"לא שאין ייצוג , אלא יש ייצוג לא מספיק . אם צבי ענבר יאמר שזה אפשרי , אני בעד . באיזה שהוא שלב ש""ס חשה שהיא יוצאת נפגעת מהחוק – לדעתי , לא בצדק , אבל כך היא חשה . אחד לאיחוד הלאומי , אחד לישראל אחת ואחד לש""ס . אם חבר הכנסת נוה יבוא ויגיד – נוסח הצעת החוק של חבר הכנסת יהושע מצא – "" עברו היומיים , עכשיו אני רוצה מועד אחר "" , ואנחנו נסכם מראש שהמועד הוא תוך שלושה שבועות , זה בסדר ."
15_ptv_490916.docx,15,committee,אופיר פינס-פז,"נשמע את מר צבי ענבר . חבר הכנסת ריבלין , אתה יכול להכניס מישהו כחבר בוועדת הכספים ? אתה תיתן לו . אם יש הסכמה רחבה על זה , אדוני היושב ראש , תציע מחדש הצעת חוק לקריאה ראשונה . קיבלת עכשיו עוד שלושה ."
15_ptv_490916.docx,15,committee,אליעזר כהן,"זה לא מכובד . הביטוי המדוייק הוא ארגון מחדש . גדעון , תעשה לי טובה . זה לא מכובד . אבל זה לא מכובד ."
15_ptv_490916.docx,15,committee,אתי בן-יוסף,"חברי הכנסת מוחמד ברכה ועמיר פרץ אינם כאן . אמנון כהן לא נמצא . מצביעים חברי הכנסת אופיר פינס - פז , יוסי כץ במקום מקסים לוי , יעל דיין במקום אלי בן - מנחם , סופה לנדבר . דוד טל יצביע במקום יצחק גאגולה , דוד אזולאי יצביע במקום משולם נהרי , יאיר פרץ . רה - ארגון ."
15_ptv_490916.docx,15,committee,בנימין אלון,"אם לממלא מקום מטעם סיעת האיחוד הלאומי – ישראל ביתנו לא תהיה זכות הצבעה בוועדות האלה , זה לא כלום . אבל זה מחייב הודעה . אם זה יקח חודש , אז מצאנו איזה שהוא פתרון לחודש . אני לא מחווה כאן דעה . כשאקבל , אתן לו ."
15_ptv_490916.docx,15,committee,בנימין אלון,"ברמה העקרונית הוא צודק מאוד . צריך לקבל אישור של יושב ראש הכנסת . הכנסת אינה מיוצגת נכון היום , וזה לא יכול להימשך כך . מה מציע חבר הכנסת טריף ? חבר הכנסת פינס , אתה תיתן לו ."
15_ptv_490916.docx,15,committee,בנימין אלון,"אבל לא התפנה כלום , אדוני היושב ראש . זו מהותו של החוק . אין לי בעיה . אני מבקש רק הצבעה . ניפגש ונחליט ."
15_ptv_490916.docx,15,committee,בנימין אלון,אני חושב שזה מה שצריך להיות . אין לי כלום . אבל מהנסיון אני יודע שהרגע הזה יחלוף . אי אפשר להמשיך . האמת היא שעבודת הכנסת הייתה צריכה להיעצר .
15_ptv_490916.docx,15,committee,בנימין אלון,"אני רק מבקש לשמוע מעשית מהיועץ המשפטי למה הכוונה כשמדברים על ממלא מקום בוועדה בשעה שאין שם חבר מאותה סיעה . לא , אין לך שיקול דעת , כי העברת את המקום אליי . זה ממש "" סרגל "" , העיקרון כאן עובד ממש לא לפי כוח . צריך להיות ייצוג סיעתי שווה לכל סיעות הבית . אם סיעת חרות אינה מיוצגת בוועדות ואם גם הסיעה שלנו היא במצב שאין לה ייצוג סיעתי לפי העיקרון שנקבע , אני חושב שזה לא יכול להימשך ."
15_ptv_490916.docx,15,committee,בנימין אלון,"על המכסה שלכם – יש לכם כמה שלא מאויישים - עד שייפתר העניין . חבר הכנסת פינס , הטענה של ש""ס היא שיהיה חיסרון בייצוג שלהם כשהם יהיו רק 3 מתוך 19 , וכרגע הם 3 מתוך 17 . ברמה העקרונית וברמה החוקית אפילו – ואני רוצה לשמוע עוד פעם את היועץ המשפטי בעניין זה – הייצוג צריך להיות סיעתי . אבל , אדוני היושב ראש , זה מצריך הודעה במליאה . אני מאוד לא אוהב לערב בג""ץ , אבל אם חבר כנסת או סיעה מרגישים מקופחים , ולשיטתם , עבודת הכנסת אינה מתבצעת נכון , אין אוטוריטה אחרת חוץ מבית הדין המינהלי הזה ."
15_ptv_490916.docx,15,committee,בנימין אלון,"עכשיו הם רוצים להציע חידוש . את זה סיכמנו . ואם אפשר , אני מבקש לשמוע את חוות דעתו של היועץ המשפטי לגבי ההיבטים החוקיים שעולים כאן . זה במקום הדבר הגדול . זאת כשהחבר וממלא המקום הם מאותה הסיעה ."
15_ptv_490916.docx,15,committee,בנימין אלון,שכחת . תעשו מה שאתם רוצים . אז שיהיה חבר לחודש . זה מעבר לעניין האישי שלנו . זה לא עניין של טובה שעושים לו .
15_ptv_490916.docx,15,committee,בנימין אלון,"אני מבקש את רשות הדיבור . אני רק רוצה להגיד דבר אחד . מה זה משנה ? זה לא מה שצריך להיות . אני מאוד מכבד את חברת הכנסת גלאון ואת חבר הכנסת דהאמשה ואת דירני ואת עוביד , אבל אני חושב שגם לכם מותר להבין שלחברי כנסת יש וחייבת להיות סמכות לומר שיש דברים שהם דחופים ובוערים ."
15_ptv_490916.docx,15,committee,בנימין אלון,"אם חבר הכנסת דהאמשה נתלה באילן גבוה , בחבר הכנסת זאבי – ואני יודע שחבר הכנסת זאבי הוא אדם שמקפיד על תקנון – וחבר הכנסת זאבי לא נמצא כאן , אני רוצה לצאת מהנחה שגם חבר הכנסת זאבי , שמקפיד על תקנון , יכול להבין שכאשר יש מצבים של מה שקרוי אצלנו "" משפט המלך "" , אכן יש בית משפט , יש פרוצדורה רגילה של ניהול דברים , אבל יש מצבים שצריכים היו להיות גם בשיקול דעתו של הבג""ץ , כמצבים של חירום לאומי , של ביטחון , של פדיון שבויים , של ערכים שכאלה . אם יש לך פתרון זמני לחודש לממלא מקום , תוך הבטחה של המפלגה שנותנת לו את המקום הזה שבמשך חודש תהיה לו זכות הצבעה , אני אודה על כך . מכסה . ואתה , חבר הכנסת פינס , מכניס חבר מסיעתנו לוועדת החוקה , חוק ומשפט למשך חודש ימים . ראשית , אני לא יודע מה מעמדו החוקי של ממלא מקום ."
15_ptv_490916.docx,15,committee,בנימין אלון,"ואם אומר חבר הכנסת נוה שיש סיבה הגיונית לדחיפות בגלל הדיון , ואנחנו רוצים לומר את דעתנו , ואתם תמנעו את זה מאתנו , זה יהיה עוול , לדעתי . מה הבעיה ? עד שזה יוסדר . אני רק רוצה להגיד – לא כאיום , חלילה וחס – שכאשר אני אומר שזה חוקי , אני מתכוון לכך והכנתי פה עתירה למתן צו על תנאי בנושא הזה . ממלאי מקום מסיעה שיש לה חבר באותה ועדה ."
